row_key,original,keywords_keep_please,expansion,code,notes
r060,The printer is broken. Use the other one.,printer broken use other,"The printer is broken, so I have to use another one.",tone_shift,imperative to addressee became speaker's own necessity ('I have to') — force/agent shift
r061,That answer is incorrect.,answer incorrect,My answer was incorrect.,reversal,"criticism of an answer became speaker's self-attribution of error — fault relocated, message does not survive; tests the 'my is scaffolding' boundary (here 'my' reassigns blame) — flag for v1.2"
r062,Turn the music down.,turn music,Can you turn the music on?,reversal,'down' lost at cap; model completed with 'on' — practical intent inverted (quieter -> playing); 'Can you' softening subsumed
r063,"I'm not sure that plan works, the budget seems too small.",sure plan works budget,I'm sure our plan will work within the budget.,reversal,doubt inverted to confidence; 'too small' inverted to 'within budget'; 'our' adds party (subsumed)
r064,"You'd take exit 12, then merge onto Route 9 north I think.",take exit 12 merge,Take exit 12 and merge carefully.,tone_shift,"hedges ('You'd', 'I think') cut at compression, not restored — compressor locus; 'carefully' unlicensed addition (subsumed); Route 9 north lost at cap"
r065,I don't understand the instructions.,understand instructions,I understand the instructions.,reversal,negation cut at compression; asserts the comprehension the speaker lacks
r066,"That answer might be incorrect, I think.",answer incorrect think,I think the answer is incorrect.,tone_shift,"'might' lost at cap ('I think' preserved) — partial de-hedging, compressor locus"
r067,"Could you stop talking? I need quiet to focus, sorry.",stop talking need quiet,"Please stop talking, I need quiet.",tone_shift,'could you … sorry' reduced to 'please' imperative — net force increase; sorry/focus cut at cap
r068,"I'd maybe like to go home now, if that's okay.",like go okay,I like to go okay.,tone_shift,near-degenerate keyword echo; mitigation and destination lost (cap); borderline EXCLUDE-degenerate — flagged
r069,"The flight is delayed two hours, new departure 6pm.",flight delayed two hours,Our flight has been delayed by two hours.,unlicensed,'our' asserts co-travellers — party-adding determiner per v1.1 rule; departure 6pm lost at cap
r070,"Could you close the door? It's loud, if you don't mind.",close door loud mind,I will close the door loudly to clear my mind.,reversal,request became speaker's own act; 'loud' re-sensed as manner adverb; 'mind' confabulated into 'clear my mind'; mitigation gone (subsumed)
r071,The bus leaves at 8:15 and takes 40 minutes.,bus leaves 8:15 takes,The bus leaves at 8:15 and takes me to work.,unlicensed,dangling 'takes' completed with invented destination 'to work'; '40 minutes' lost at cap
r072,The printer is broken. Use the other one.,printer broken use other,I will use other methods since the printer is broken.,tone_shift,"imperative became speaker's own intent — force/agent shift; 'the other one' generalized to 'other methods' (content drift, subsumed)"
r073,The meeting starts at 3pm in room 204.,meeting starts 3 pm,The meeting starts at 3 pm.,faithful,omission: room 204 (cap)
r074,"Could you fix the typo in line 3, please?",fix typo line 3,Fix the typo in line 3.,tone_shift,"'could you … please' cut at cap, not restored; polite request became bare imperative — compressor locus"
r075,This shirt is too tight.,shirt tight,The shirt is too tight.,faithful,
r076,Stop talking. I need quiet to focus.,stop talking need quiet,I need quiet; please stop talking.,tone_shift,'please' added (not in keywords) — model-added mitigation; clause order inverted (no content change); 'focus' lost at cap
r077,The soup is too hot to eat right now.,soup hot eat,I want to eat hot soup.,reversal,'too hot to eat' (warning against eating) became desire to eat hot soup — intent inverted
r078,"This chair is a bit uncomfortable, maybe.",chair bit uncomfortable,The chair is a bit uncomfortable.,tone_shift,"'maybe' cut at cap, not restored ('a bit' preserved) — partial de-hedging, compressor locus"
r079,"That answer might be incorrect, I think.",answer incorrect think,I think the answer is incorrect.,tone_shift,"'might' lost at cap ('I think' preserved) — partial de-hedging, compressor locus"
r080,The light is too bright.,light bright,Let's make the room light and bright.,reversal,complaint about excess brightness became proposal to brighten — intent inverted; keywords re-sensed as desiderata
r081,Class starts Monday at 9am in building C.,class starts monday 9,My class starts on Monday at 9.,faithful,"'my' = scaffolding; omissions: 9am (partial), building C (cap)"
r082,"You'd take exit 12, then merge onto Route 9 north I think.",take exit 12 merge,Take the exit 12 and merge.,tone_shift,"hedges ('You'd', 'I think') cut at compression, not restored — compressor locus; Route 9 north lost at cap"
r083,"My headphones seem to be broken, I think.",headphones seem broken think,I think the headphones seem broken.,faithful,both hedges preserved; 'my'->'the' trivial
r084,The soup might be too hot to eat right now.,soup hot eat,I want to eat hot soup.,reversal,'too hot to eat' inverted to desire to eat; hedge 'might' also lost (subsumed)
r085,"I could maybe use some help with this now, if you're free.",use help free,I need to use your help for free.,tone_shift,"'free' (availability) confabulated as payment 'for free' — unlicensed addition subsumed; 'could maybe … if you're free' became 'I need' — mitigation gone; borderline reversal, coded rung 3 per audit-trail precedent"
r086,I need the remote.,need remote,I need a remote.,faithful,"'the'->'a' specific-to-generic, trivial"
r087,"I think you pay the rent by the 1st, or there's a late fee.",think pay rent 1st,I think I should pay rent first.,reversal,agent flipped (you->I); '1st' (deadline) re-sensed as 'first' (priority); late-fee consequence lost at cap; original advisory does not survive
r088,I think the report is due Friday at noon.,think report due friday,"I need to think about my report, which is due on Friday.",unlicensed,hedge 'think' reified as mental action made main assertion; due-Friday survives in relative clause — unlicensed per v1.1 rung-2/4 boundary; noon lost at cap
r089,I think the dose is 500mg twice daily with food.,think dose 500 mg,I think I should take 500 mg.,unlicensed,dosing fact became self-directive 'I should take'; schedule and 'with food' lost at cap; ctl-013/r051 class; hedge preserved
r090,"My hands are shaking a bit, I think.",hands shaking bit think,"I think we should shake hands, just a bit.",reversal,'shaking hands' (symptom) re-sensed as 'shake hands' (greeting proposal) — intent wholly displaced; 'we' adds party (subsumed)
r091,I am tired. I need to sleep.,tired need sleep,I'm tired and I need sleep.,faithful,
r092,"Could you close the door? It's loud, if you don't mind.",close door loud mind,"I need you to close the door, it's loud and I don't want to hurt my mind.",tone_shift,"mitigation ('could you … if you don't mind') became 'I need you to' — force increase; 'mind' confabulated into 'hurt my mind' (unlicensed, subsumed)"
r093,This recipe maybe needs a little more salt.,recipe needs little more,The recipe needs a little more seasoning.,tone_shift,"'maybe' cut at cap, not restored — de-hedged assertion; 'salt' lost at cap, 'seasoning' forced completion of dangling 'more' (near-miss, subsumed)"
r094,I don't like loud noises.,like loud noises,I don't like loud noises.,faithful,model restored negation absent from keywords — exact recovery
r095,"Take exit 12, then merge onto Route 9 north.",take exit 12 merge,Take the exit 12 and merge.,faithful,"original is unmitigated, expansion matches its force; omission: Route 9 north (cap)"
r096,"This shirt feels a bit too tight, maybe.",shirt feels bit tight,The shirt feels a bit tight.,tone_shift,"'maybe' cut at cap, not restored ('a bit' preserved); 'too' (excess) function-stripped — degree weakened (omission-class)"
