row_key,original,keywords_keep_please,expansion,code,notes
r058,"I'm a bit cold, could I maybe get a blanket?",bit cold get blanket,"I feel a bit cold, so I'm going to get a blanket.",,
r059,"I don't think you answered my question, sorry.",think answered question sorry,"I think I answered the question, but I'm sorry if it was incorrect.",,
r060,The printer is broken. Use the other one.,printer broken use other,"The printer is broken, so I have to use another one.",,
r061,That answer is incorrect.,answer incorrect,My answer was incorrect.,,
r062,Turn the music down.,turn music,Can you turn the music on?,,
r063,"I'm not sure that plan works, the budget seems too small.",sure plan works budget,I'm sure our plan will work within the budget.,,
r064,"You'd take exit 12, then merge onto Route 9 north I think.",take exit 12 merge,Take exit 12 and merge carefully.,,
r065,I don't understand the instructions.,understand instructions,I understand the instructions.,,
r066,"That answer might be incorrect, I think.",answer incorrect think,I think the answer is incorrect.,,
r067,"Could you stop talking? I need quiet to focus, sorry.",stop talking need quiet,"Please stop talking, I need quiet.",,
r068,"I'd maybe like to go home now, if that's okay.",like go okay,I like to go okay.,,
r069,"The flight is delayed two hours, new departure 6pm.",flight delayed two hours,Our flight has been delayed by two hours.,,
r070,"Could you close the door? It's loud, if you don't mind.",close door loud mind,I will close the door loudly to clear my mind.,,
r071,The bus leaves at 8:15 and takes 40 minutes.,bus leaves 8:15 takes,The bus leaves at 8:15 and takes me to work.,,
r072,The printer is broken. Use the other one.,printer broken use other,I will use other methods since the printer is broken.,,
r073,The meeting starts at 3pm in room 204.,meeting starts 3 pm,The meeting starts at 3 pm.,,
r074,"Could you fix the typo in line 3, please?",fix typo line 3,Fix the typo in line 3.,,
r075,This shirt is too tight.,shirt tight,The shirt is too tight.,,
r076,Stop talking. I need quiet to focus.,stop talking need quiet,I need quiet; please stop talking.,,
r077,The soup is too hot to eat right now.,soup hot eat,I want to eat hot soup.,,
r078,"This chair is a bit uncomfortable, maybe.",chair bit uncomfortable,The chair is a bit uncomfortable.,,
r079,"That answer might be incorrect, I think.",answer incorrect think,I think the answer is incorrect.,,
r080,The light is too bright.,light bright,Let's make the room light and bright.,,
r081,Class starts Monday at 9am in building C.,class starts monday 9,My class starts on Monday at 9.,,
r082,"You'd take exit 12, then merge onto Route 9 north I think.",take exit 12 merge,Take the exit 12 and merge.,,
r083,"My headphones seem to be broken, I think.",headphones seem broken think,I think the headphones seem broken.,,
r084,The soup might be too hot to eat right now.,soup hot eat,I want to eat hot soup.,,
r085,"I could maybe use some help with this now, if you're free.",use help free,I need to use your help for free.,,
r086,I need the remote.,need remote,I need a remote.,,
r087,"I think you pay the rent by the 1st, or there's a late fee.",think pay rent 1st,I think I should pay rent first.,,
r088,I think the report is due Friday at noon.,think report due friday,"I need to think about my report, which is due on Friday.",,
r089,I think the dose is 500mg twice daily with food.,think dose 500 mg,I think I should take 500 mg.,,
r090,"My hands are shaking a bit, I think.",hands shaking bit think,"I think we should shake hands, just a bit.",,
r091,I am tired. I need to sleep.,tired need sleep,I'm tired and I need sleep.,,
r092,"Could you close the door? It's loud, if you don't mind.",close door loud mind,"I need you to close the door, it's loud and I don't want to hurt my mind.",,
r093,This recipe maybe needs a little more salt.,recipe needs little more,The recipe needs a little more seasoning.,,
r094,I don't like loud noises.,like loud noises,I don't like loud noises.,,
r095,"Take exit 12, then merge onto Route 9 north.",take exit 12 merge,Take the exit 12 and merge.,,
r096,"This shirt feels a bit too tight, maybe.",shirt feels bit tight,The shirt feels a bit tight.,,
