item_id,condition,topic,features,original,keywords_keep_please,model,sample_idx,expansion,n_clauses,n_unentailed,unentailed_clauses,code,notes,coder,coded_at
aut-032,autistic_style,directions,info_dense,"Take exit 12, then merge onto Route 9 north.",take exit 12 merge,qwen2.5:7b-instruct,0,Take exit 12 and merge carefully.,2,1,merge carefully.,faithful,omit route 9 north,RajC,2026-09-07T18:42:55+00:00
aut-035,autistic_style,equipment_fault,low_hedging;direct,The printer is broken. Use the other one.,printer broken use other,qwen2.5:7b-instruct,2,I will use other methods since the printer is broken.,1,0,,faithful,changed other one to other methods,RajC,2026-09-07T18:36:56+00:00
aut-037,autistic_style,schedule_fact,info_dense,Class starts Monday at 9am in building C.,class starts monday 9,qwen2.5:7b-instruct,0,My class starts on Monday at 9.,1,1,My class starts on Monday at 9.,faithful,omit in building c,RajC,2026-09-07T17:10:43+00:00
aut-042,autistic_style,coordination,direct,Wait here. I'll be back in five minutes.,wait five minutes,qwen2.5:7b-instruct,0,Please wait for five minutes.,1,0,,unlicensed,added politeness,RajC,2026-09-07T05:35:35+00:00
aut-043,autistic_style,medication_dosing,info_dense;literal,The dose is 500mg twice daily with food.,dose 500 mg food,qwen2.5:7b-instruct,0,I took a dose of 500 mg of my food.,1,1,I took a dose of 500 mg of my food.,unlicensed,"didn't take, and omit twice",RajC,2026-09-07T18:24:08+00:00
aut-045,autistic_style,logistics_request,direct,I need a ride at 6pm.,need ride 6 pm,qwen2.5:7b-instruct,2,I need a ride at 6 pm.,1,0,,faithful,perfect,RajC,2026-09-07T17:15:26+00:00
aut-047,autistic_style,technical_constraint,info_dense;direct,The password has to be 8 characters with a number.,password has 8 characters,qwen2.5:7b-instruct,2,The password has 8 characters.,1,0,,faithful,omit has a number,RajC,2026-09-07T17:11:24+00:00
ctl-001,control_style,request_environment,,"Could you close the door? It's loud, if you don't mind.",close door loud mind,llama3.1:8b,0,"I need you to close the door, it's loud and I don't want to hurt my mind.",2,1,and I don't want to hurt my mind.,unlicensed,"hurt my mind added, rest is good, some tone shift",RajC,2026-09-07T05:37:53+00:00
ctl-004,control_style,warning_physical,,The soup might be too hot to eat right now.,soup hot eat,llama3.1:8b,0,I want to eat hot soup.,1,1,I want to eat hot soup.,reversal,added a want and omitted soup is hot so not want to eat,RajC,2026-09-07T18:00:23+00:00
ctl-006,control_style,request_environment,,"Could you stop talking? I need quiet to focus, sorry.",stop talking need quiet,llama3.1:8b,1,"Please stop talking, I need quiet.",1,0,,tone_shift,"change could to please, omitted some other details",RajC,2026-09-07T18:28:43+00:00
ctl-008,control_style,disagreement_work,,"I'm not sure that plan works, the budget seems too small.",sure plan works budget,llama3.1:8b,0,I'm sure our plan will work within the budget.,1,1,I'm sure our plan will work within the budget.,reversal,omit budget seems too small and changed not works to works,RajC,2026-09-07T05:37:10+00:00
ctl-012,control_style,refusal,,"I'm not sure I want that plan, sorry.",sure want plan sorry,llama3.1:8b,1,"I'm sorry, I'd like to plan.",1,1,"I'm sorry, I'd like to plan.",unlicensed,changed meaning of plan,RajC,2026-09-07T18:31:13+00:00
ctl-013,control_style,deadline_fact,,I think the report is due Friday at noon.,think report due friday,llama3.1:8b,0,"I need to think about my report, which is due on Friday.",1,1,"I need to think about my report, which is due on Friday.",unlicensed,did not need to think about my report,RajC,2026-09-07T18:29:37+00:00
ctl-017,control_style,medication_dosing,,I think the medication is two pills every eight hours.,think medication two pills,llama3.1:8b,1,I need to take two pills.,1,0,,faithful,omit every 8 hours,RajC,2026-09-07T18:30:54+00:00
ctl-021,control_style,financial_deadline,,"I think you pay the rent by the 1st, or there's a late fee.",think pay rent 1st,llama3.1:8b,1,I think I should pay rent first.,1,1,I think I should pay rent first.,unlicensed,changed meaning,RajC,2026-09-07T06:09:16+00:00
ctl-023,control_style,conversation_repair,,"I don't think you answered my question, sorry.",think answered question sorry,llama3.1:8b,1,"I think I answered the question, but I'm sorry.",2,1,"I think I answered the question, but",reversal,"changed subject and reversed meaning, but kept sorry",RajC,2026-09-07T06:11:33+00:00
ctl-028,control_style,medical_symptom,,"My hands are shaking a bit, I think.",hands shaking bit think,llama3.1:8b,1,"My hands are shaking a bit, I think.",1,0,,faithful,perfect,RajC,2026-09-07T18:23:36+00:00
ctl-029,control_style,time_pressure,,"I think the store closes at 9, so we have one hour.",think store closes 9,llama3.1:8b,0,The store closes at 9.,1,0,,faithful,omit we have one hour,RajC,2026-09-07T17:11:12+00:00
ctl-032,control_style,directions,,"You'd take exit 12, then merge onto Route 9 north I think.",take exit 12 merge,llama3.1:8b,0,Take the exit 12 and merge.,2,0,,faithful,omit onto route 9 north ithink,RajC,2026-09-07T18:23:47+00:00
ctl-034,control_style,social_feedback,,"That joke wasn't really that funny, maybe just me.",joke funny,llama3.1:8b,2,That joke was really funny.,1,1,That joke was really funny.,reversal,joke not funny to joke funny,RajC,2026-09-07T18:37:52+00:00
ctl-035,control_style,equipment_fault,,"I think the printer is broken, maybe use the other one.",think printer broken use,llama3.1:8b,0,I think the printer is broken.,1,0,,faithful,omit maybe use the other one,RajC,2026-09-07T18:28:30+00:00
ctl-036,control_style,preference_drink,,"I'd maybe like water rather than juice, if that's okay.",like water juice okay,llama3.1:8b,2,"I like water, but I'm okay with juice.",2,2,"I like water, but || I'm okay with juice.",unlicensed,"keeps like for water, doesnt keep like for juice",RajC,2026-09-07T17:15:12+00:00
ctl-039,control_style,comfort_complaint,,"This chair is a bit uncomfortable, maybe.",chair bit uncomfortable,llama3.1:8b,1,The chair is a bit uncomfortable.,1,0,,tone_shift,omit maybe,RajC,2026-09-07T05:38:15+00:00
ctl-040,control_style,financial_fact,,"I think the invoice is $450, due in 30 days.",think invoice 450 due,llama3.1:8b,2,The invoice is due for $450.,1,0,,faithful,omit due in 30 days,RajC,2026-09-07T06:09:27+00:00
ctl-041,control_style,comprehension_gap,,"I don't quite understand the instructions, sorry.",understand instructions sorry,llama3.1:8b,2,"I can understand the instructions, so I'm sorry.",1,1,"I can understand the instructions, so I'm sorry.",reversal,"not understand to understand, but kept sorry",RajC,2026-09-07T18:42:29+00:00
ctl-044,control_style,error_report,,"That answer might be incorrect, I think.",answer incorrect think,llama3.1:8b,2,I think the answer is incorrect.,1,0,,faithful,omit i think,RajC,2026-09-07T17:19:05+00:00
ctl-045,control_style,logistics_request,,"I might need a ride at 6pm, if that works.",need ride 6 pm,llama3.1:8b,0,I need a ride at 6 pm.,1,0,,faithful,omit if that works,RajC,2026-09-07T05:38:02+00:00
ctl-047,control_style,technical_constraint,,I think the password has to be 8 characters with a number.,think password has 8,llama3.1:8b,1,My password has 8 characters.,1,0,,faithful,omit with a number,RajC,2026-09-07T17:32:15+00:00
ctl-048,control_style,emotional_state,,"I feel a bit overwhelmed right now, sorry.",feel bit overwhelmed sorry,llama3.1:8b,0,"I feel a bit overwhelmed, sorry.",1,0,,faithful,omit right now,RajC,2026-09-07T06:12:54+00:00
ctl-049,control_style,appointment_change,,"Could you cancel the appointment for tomorrow, please?",cancel appointment tomorrow please,llama3.1:8b,2,"I need to cancel our appointment tomorrow, please.",1,1,"I need to cancel our appointment tomorrow, please.",faithful,1,RajC,2026-09-07T17:18:18+00:00
ctl-050,control_style,leave_taking,,"I'd maybe like to go home now, if that's okay.",like go okay,llama3.1:8b,0,I'll go okay.,1,1,I'll go okay.,unlicensed,omit home and if thats,RajC,2026-09-07T17:59:47+00:00
ctl-001,control_style,request_environment,,"Could you close the door? It's loud, if you don't mind.",close door loud mind,qwen2.5:7b-instruct,1,I will close the door loudly to clear my mind.,1,1,I will close the door loudly to clear my mind.,unlicensed,removed request and switched the reasoning,RajC,2026-09-07T17:32:06+00:00
ctl-002,control_style,schedule_fact,,"I think the meeting starts at 3pm, room 204.",think meeting starts 3,qwen2.5:7b-instruct,1,I think the meeting starts at 3.,1,0,,faithful,omit room 204,RajC,2026-09-07T17:18:28+00:00
ctl-003,control_style,decline_invitation,,I don't really think I want to go to the party.,think want go party,qwen2.5:7b-instruct,0,I think I want to go to the party.,1,1,I think I want to go to the party.,reversal,perfect reversal,RajC,2026-09-07T17:10:36+00:00
ctl-008,control_style,disagreement_work,,"I'm not sure that plan works, the budget seems too small.",sure plan works budget,qwen2.5:7b-instruct,1,"Sure, the plan works within our budget.",1,1,"Sure, the plan works within our budget.",reversal,budget is small and plan doesnt work to plan works in budget,RajC,2026-09-07T18:38:46+00:00
ctl-010,control_style,request_help,,"I could maybe use some help with this now, if you're free.",use help free,qwen2.5:7b-instruct,1,I need to use your help for free.,1,1,I need to use your help for free.,unlicensed,change meaning of free,RajC,2026-09-07T18:42:16+00:00
ctl-012,control_style,refusal,,"I'm not sure I want that plan, sorry.",sure want plan sorry,qwen2.5:7b-instruct,2,"Sure, I want to plan a surprise for you, but I'm sorry if I got your name wrong.",2,2,"Sure, I want to plan a surprise for you, but || I'm sorry if I got your name wrong.",reversal,reverse meaning and added something random,RajC,2026-09-07T06:07:40+00:00
ctl-014,control_style,clothing_fit,,"This shirt feels a bit too tight, maybe.",shirt feels bit tight,qwen2.5:7b-instruct,2,The shirt feels a bit tight.,1,0,,faithful,omit maybe,RajC,2026-09-07T17:15:18+00:00
ctl-015,control_style,feedback_negative,,"Your explanation was a little confusing, maybe just me.",explanation little confusing,qwen2.5:7b-instruct,2,The explanation is a little confusing.,1,0,,faithful,"omit maybe just me, and change your to the",RajC,2026-09-07T17:12:34+00:00
ctl-016,control_style,leave_taking,,"I'd maybe like to leave now, if that's okay.",like leave okay,qwen2.5:7b-instruct,2,I like to leave when you're okay with it.,1,0,,tone_shift,"good expansion but changed tone a little bit, omitted maybe",RajC,2026-09-07T18:37:44+00:00
ctl-019,control_style,need_comfort,,"I'm a bit cold, could I maybe get a blanket?",bit cold get blanket,qwen2.5:7b-instruct,2,"I feel a bit cold, so I'm going to get a blanket.",1,1,"I feel a bit cold, so I'm going to get a blanket.",tone_shift,changed tone from question to going to do something,RajC,2026-09-07T18:29:50+00:00
ctl-023,control_style,conversation_repair,,"I don't think you answered my question, sorry.",think answered question sorry,qwen2.5:7b-instruct,2,"I think I answered the question, but I'm sorry if it was incorrect.",2,2,"I think I answered the question, but || I'm sorry if it was incorrect.",reversal,reverse answer and added uneccesary info to sorry,RajC,2026-09-07T06:14:05+00:00
ctl-026,control_style,cooking_feedback,,This recipe maybe needs a little more salt.,recipe needs little more,qwen2.5:7b-instruct,1,The recipe needs a little more seasoning.,1,0,,faithful,salt to seasoning,RajC,2026-09-07T18:41:32+00:00
ctl-028,control_style,medical_symptom,,"My hands are shaking a bit, I think.",hands shaking bit think,qwen2.5:7b-instruct,1,"I think we should shake hands, just a bit.",1,1,"I think we should shake hands, just a bit.",unlicensed,changed meaning of shake,RajC,2026-09-07T17:59:30+00:00
ctl-030,control_style,sensory_environment,,The light is maybe a bit too bright.,light bit bright,qwen2.5:7b-instruct,1,I need a light bit bright day.,1,1,I need a light bit bright day.,unlicensed,doesn't make sense and no need for a light and the day isnt bright,RajC,2026-09-07T18:38:17+00:00
ctl-031,control_style,task_correction,,"Could you fix the typo in line 3, please?",fix typo line 3,qwen2.5:7b-instruct,0,Fix the typo in line 3.,1,0,,tone_shift,removed politeness,RajC,2026-09-07T06:09:49+00:00
ctl-032,control_style,directions,,"You'd take exit 12, then merge onto Route 9 north I think.",take exit 12 merge,qwen2.5:7b-instruct,1,Take exit 12 and merge carefully.,2,1,merge carefully.,faithful,omit merge onto route 9 north,RajC,2026-09-07T17:14:35+00:00
ctl-033,control_style,bodily_need,,"I think I need the bathroom now, sorry.",think need bathroom sorry,qwen2.5:7b-instruct,1,"I think I need to go to the bathroom, sorry.",1,0,,faithful,kept tone and meaning,RajC,2026-09-07T06:09:38+00:00
ctl-034,control_style,social_feedback,,"That joke wasn't really that funny, maybe just me.",joke funny,qwen2.5:7b-instruct,0,That one's a joke and it's funny!,2,1,it's funny!,reversal,joke not funny to joke funny,RajC,2026-09-07T18:24:38+00:00
ctl-037,control_style,schedule_fact,,"I think class starts Monday at 9am, building C.",think class starts monday,qwen2.5:7b-instruct,0,I think the class starts on Monday.,1,0,,faithful,omit some info,RajC,2026-09-07T05:36:02+00:00
ctl-040,control_style,financial_fact,,"I think the invoice is $450, due in 30 days.",think invoice 450 due,qwen2.5:7b-instruct,0,I think the invoice for 450 is due.,1,0,,faithful,omit due in 30 days,RajC,2026-09-07T17:18:47+00:00
ctl-043,control_style,medication_dosing,,I think the dose is 500mg twice daily with food.,think dose 500 mg,qwen2.5:7b-instruct,1,I think I should take 500 mg.,1,0,,unlicensed,omit twice daily with food,RajC,2026-09-07T06:14:21+00:00
ctl-044,control_style,error_report,,"That answer might be incorrect, I think.",answer incorrect think,qwen2.5:7b-instruct,1,I think the answer is incorrect.,1,0,,faithful,,RajC,2026-09-07T06:12:12+00:00
ctl-046,control_style,equipment_fault,,"My headphones seem to be broken, I think.",headphones seem broken think,qwen2.5:7b-instruct,0,I think the headphones seem broken.,1,0,,faithful,swapped order but same meaning,RajC,2026-09-07T05:35:45+00:00
ctl-050,control_style,leave_taking,,"I'd maybe like to go home now, if that's okay.",like go okay,qwen2.5:7b-instruct,1,I like to go okay.,1,1,I like to go okay.,faithful,omit home and if thats okay,RajC,2026-09-07T17:14:54+00:00
